Argument ID	Conclusion	Stance	Premise	Type
A21116	We should adopt an austerity regime	against	We should not adopt an austerity regime because counter cyclical spending leads to better outcomes for the economy than austerity.	train
A21118	We should ban telemarketing	against	telemarketing is perfectly fine, when handled by telemarketers appropriately and politely with respect to potential customers	train
A21119	We should adopt atheism	in favor of	atheism should be the defacto stance as it is the only provable observance of reality, in that there is absolutely no evidence to prove the contrary.	train
A21121	We should end the use of economic sanctions	in favor of	you cannot push another country just because you don't approve of their behaviors	train
A21122	We should adopt a zero-tolerance policy in schools	against	A zero tolerance policy in schools is a very old fashioned theory, and it has failed over and over again.	train
A21127	We should ban missionary work	against	missionary work can provide assistance to people who need it.	train
A21129	We should abolish capital punishment	against	we should not because it will be much cheaper than keeping these evil people in prison for there life.	train
A21130	We should end mandatory retirement	against	we should not end mandatory retirement because people need to retire whether they realize it or not, it is not up to them, they of course have no free will.	train
A21132	We should adopt gender-neutral language	in favor of	the use of gender pronouns tends to single out one gender from the other and can be offensive to some.	train
A21133	We should adopt a multi-party system	against	we should no adopt a multi-party system because nothing would ever get done with varying points of view.	train
A21134	We should cancel pride parades	against	pride parades are a fantastic way for individuals to celebrate their identities which history has long put down as being not normal or labeled as a disorder.	train
A21135	We should ban missionary work	in favor of	missionary work can be viewed as the exploitation of a disadvantaged culture by a privileged culture.	train
A21137	We should subsidize journalism	against	State subsidies for jouranalism aren't supported by a majority of the populace, making it undemocratic and not something the state should do.	train
A21138	We should abolish intellectual property rights	against	intellectual property rights protect those who have spent time and ingenuity on development of an idea and ensures they can be rewarded accordingly for their inspiration.	train
A21139	We should limit executive compensation	in favor of	executive compensation encourages corruption	train
A21141	We should ban fast food	in favor of	banning fats food should be obligatory for all governments as hurting people health.	train
A21142	We should legalize organ trade	in favor of	legalizing organ trade would make it safer by moving it out of the hands of unscrupulous people operating in the black market.	train
A21143	We should subsidize embryonic stem cell research	in favor of	embryonic research has proven effective in finding cures for many diseases such as cancer.	train
A21144	We should abolish the Olympic Games	against	the olympic games are the one event that can bring all countries together in unity and should never be abolished.	train
A21146	We should adopt a multi-party system	in favor of	the interests of a two party system are very limited and we need to expand with more parties to cater to more views	train
A21149	We should adopt libertarianism	in favor of	libertarianism gives us real freedom and keeps the government out of our lives	train
A21150	We should limit judicial activism	in favor of	judges by definition are supposed to be impartial. having activist judges defeats the purpose	train
A21152	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons should be abolished because they are just an easy way to wipe out the human race.	train
A21153	We should ban the Church of Scientology	against	the church is like any other church, and after all, there is supposed to be a separation of church and state.	train
A21155	We should abolish capital punishment	against	capital punishment is the only acceptable punishment for some heinous crimes because they are so evil, life in prison is not enough.	train
A21156	We should subsidize student loans	in favor of	student loans is a help for those who do not have resources	train
A21157	We should subsidize embryonic stem cell research	in favor of	embyronic stem cell research uses cells that would otherwise just be destroyed.	train
A21161	We should ban whaling	against	We should not ban whaling because there are whale species that could be sustainably harvested, albeit not all whale species.	train
A21162	We should limit executive compensation	in favor of	Executive Compensation should be limited when there are losses in the company	train
A21164	We should ban private military companies	against	private military companies are often run by former military men and women and provide a service that allows the military to concentrate on military operations.	train
A21166	We should end the use of economic sanctions	in favor of	we could not support economic sanctions as it only hurts both countries financially in the long run.	train
A21168	We should abolish intellectual property rights	against	we should not abolish intellectual property rights because it's not fair for people to steal a genius idea from someone else	train
A21169	We should ban the Church of Scientology	against	if we chose to ban one religion we could end up with all religions banned which would result in war so we should not ban the church of scientology.	train
A21170	We should adopt gender-neutral language	in favor of	adopting gender neutral language would make it easier to be inclusive.	train
A21172	We should limit judicial activism	in favor of	the judicial system requires independence, judicial activists undermine this independence and the practice should be limited.	train
A21173	We should subsidize journalism	against	we already are in high enough debt, we don't need to make it worse be subsidizing pointless things.	train
A21174	We should ban private military companies	against	the operating personnel of these companies has been working for the army of the nation. this type of company keeps them active and always ready to defend if necessary.	train
A21175	We should oppose collectivism	in favor of	we should oppose collectivism because it creates echo chambers in societies that makes it harder for individuals to give their thoughts and opinions on things	train
A21176	We should adopt libertarianism	in favor of	libertarianism promotes freedom and liberty in the more fair form for all. the foundation of our country is built on these ideas. there is more equality and freedom through libertarianism.	train
A21177	We should ban targeted killing	in favor of	there are still civilian casualties when using targeted killing.	train
A21180	We should adopt an austerity regime	in favor of	the national debt is out of control and only by implementing austerity measures will we be able to reduce the budget deficit and guarantee the country's future.	train
A21182	We should abolish zoos	in favor of	confining animals in small spaces is cruel.	train
A21183	We should legalize cannabis	against	cannabis can potentially provide a route into experimenting with harder drugs.	train
A21185	We should abolish zoos	against	zoos can help people, especially those with little money, to  discover the beauty of wildlife and learn how to protect  endangered species	train
A21186	We should ban telemarketing	in favor of	we should ban telemarketing because it is annoying and there is no way to tell if the offer is legitimate.	train
A21190	We should abolish zoos	against	zoos are great educational tools, and it is also a safe place to take care of endangered species.	train
A21192	We should end mandatory retirement	against	We should not end mandatory retirement because the current system in countries like Germany where this is common is not broken.	train
A21194	We should adopt gender-neutral language	against	such a dramatic change to a language would have a hard time being universally adopted and would be difficult to enforce. he has already served as a gender neutral pronoun in the past.	train
A21196	We should subsidize student loans	against	the tax payers would have to pay for the subsidization of student loans in the end, it would be better to reform the entire university system instead.	train
A21197	We should adopt a zero-tolerance policy in schools	against	the school is designed to educate not to accept student abuse	train
A21199	We should ban cosmetic surgery for minors	against	cosmetic surgery can provide boost in confidence. everyone should have the right to feel comfortable.	train
A21201	We should ban targeted killing	against	i do not support that decision is that without them there would be many terrorists is a measure that helps a lot to this society	train
A21204	We should abolish zoos	against	zoos are an educational and entertaining tool and the animals are well fed and cared for.	train
A21205	We should adopt gender-neutral language	in favor of	we should because times are changing and people are not sure of their gender anymore so it stops people being offended.	train
A21206	We should legalize cannabis	in favor of	i think it takes up too much valuable police resources chasing recreational cannabis smokers.also many people with health conditions find cannabis beneficial to them.	train
A21207	We should abandon the use of school uniform	against	the uniformity of clothing creates a sense of belonging and a collective identity which encourages camaraderie between students and this allows for greater focus on studies	train
A21208	We should introduce compulsory voting	in favor of	compulsory voting would ensure that voting is fair and equal	train
A21210	We should ban algorithmic trading	against	algorithmic trading might be good for those starting out since it takes all the guess work out.	train
A21213	We should abolish capital punishment	in favor of	Criminals are often kept on death row for many years, suffering in anticipation of their death. This makes capital punishment more severe than just depriving the criminal of life.	train
A21214	We should stop the development of autonomous cars	against	they are environmentally friendly and can help minimize traffic congestion.	train
A21216	We should legalize cannabis	against	the use of cannabis does not stop there.  many go for the next high of hashish.  then on to other drugs.  cannabis should not be allowed to stop this progressions.	train
A21218	We should legalize prostitution	in favor of	Prostitution doesn't pose any larger physical threat to the individual than other manual labor jobs. Dancers destroy their bones and construction workers their backs, if those are legal prostitution needs to be as well.	train
A21219	We should abandon the use of school uniform	against	wearing uniforms decreases discrimination against children who do not have enough money to buy a lot of clothing	train
A21220	We should end mandatory retirement	in favor of	this measure allows to move pieces in the companies and refresh the work schemes and to adapt to the new times	train
A21223	We should fight for the abolition of nuclear weapons	against	nuclear weapons prevent certain countries being attacked and help to keep world peace.	train
A21224	We should cancel pride parades	against	the lgbt world has suffered and fought greatly for equal rights, they deserve to have a parade or march in honor of such.	train
A21227	We should ban the use of child actors	against	we should not ban the use of child actors because then movies and shows wouldn't have any children in them	train
A21228	We should end mandatory retirement	in favor of	we should end mandatory retirement these days people need to work longer to afford to live because of inflation.	train
A21229	We should subsidize embryonic stem cell research	against	we should not subsidize embryonic stem cell research because these scientists have been working on this a long time.	train
A21231	We should limit executive compensation	against	executives have earned their compensation and should not be capped on what they can earn as this would be and overreach into company affairs	train
A21232	We should ban targeted killing	in favor of	it is unfair to assassinate others as a surprise and out of battlefield.	train
A21233	We should adopt a multi-party system	in favor of	multi-party systems bring diversity to politics, and giving more voices to the population	train
A21234	We should abolish zoos	against	we shouldnt because they are helping animals that might be going extinct to help breed.	train
A21235	We should ban private military companies	in favor of	we should ban private military companies because it relies too much on government funding	train
A21237	We should ban fast food	against	fast food is cheap and easy and is often the only way poor people can feed their families. if you ban fast food these people won't have enough food to get thru til their next check comes.	train
A21238	We should subsidize journalism	in favor of	When newspapers worry more about the bottom line than the headlines, the quality of the papers goes down resulting in poor pop journalism that panders to the public and the advertisers.	train
A21239	We should subsidize embryonic stem cell research	against	this type of investigations always end up perverting and end up fulfilling dark objectives	train
A21240	We should ban factory farming	against	factory farming requires a load of workforce and provides a lot of jobs opportunities	train
A21241	We should abolish intellectual property rights	in favor of	intellectual property rights limit the information people can use	train
A21244	We should introduce compulsory voting	against	some people just don't have an opinion about who to vote for	train
A21246	We should adopt gender-neutral language	against	adopting gender-neutral language will cost lots of money to fix signs, letters, forms, etc.	train
A21251	We should ban whaling	against	there are still people that live off of whaling and banning it would take away their food and income.	train
A21252	We should legalize prostitution	in favor of	legalizing prostitution could empower women and make them safer	train
A21253	We should adopt a multi-party system	against	multi-party systems encourage the formation of weak and unstable coalitions that achieve little beyond their own day to day survival	train
A21254	We should abolish capital punishment	in favor of	we should abolish capital punishment because sometimes people are wrongfully accused and once dead cannot bring them back so life in prison is better	train
A21255	We should limit executive compensation	in favor of	we should limit executive compensation because most make an unbalanced amount of salary in comparison to their real worth.	train
A21257	We should ban cosmetic surgery	against	As long as they use an accredited plastic surgeon, people should be able to do whatever they want with their bodies.	train
A21259	We should subsidize journalism	against	journalism is self sustaining and subsidizing it gives the government control over content.	train
A21260	We should ban cosmetic surgery	in favor of	cosmetic surgery is ruining the confidence of young girls and making them feel like their not good enough without such surgeries.	train
A21261	We should legalize prostitution	in favor of	Legalizing prostitution will allow prostitutes to actually report and press charges against problematic pimps and johns, something they can't do right now.	train
A21263	We should adopt gender-neutral language	against	we shouldn't have to change the british language to conform to others' needs	train
A21267	We should abandon the use of school uniform	against	school uniform stops students from being bullied for their clothing	train
A21268	We should ban private military companies	against	private military companies are nothing but hired guards.  a company should be able to hire them because they provide a service that is needed.	train
A21269	We should legalize sex selection	against	sex selection could lead to an imbalance of genders	train
A21271	We should ban the use of child actors	against	child actors are supervised constantly, are well taken care of, and have tutors on set to keep them from falling back in school.	train
A21273	We should abolish the right to keep and bear arms	in favor of	there is no rational purpose for arming the populace; it causes more problems than it solves.	train
A21274	We should ban targeted killing	in favor of	we should ban targeted killing as it is a reprehensible way to kill animals by not even giving them a chance.	train
A21275	We should subsidize Wikipedia	in favor of	wikipedia is useful in helping people of all ages learn about various topics..	train
A21277	We should introduce compulsory voting	in favor of	the more people participate in the voting process, the better it is for democracy and society as a whole.	train
A21278	We should fight for the abolition of nuclear weapons	against	we should not fight for the abolition of nuclear weapons since just having nuclear weapons deters another nation from starting a major conflict with us.	train
A21280	We should abandon the use of school uniform	in favor of	school uniforms stifle the ability of kids to be creative in how they dress and express themselves.	train
A21281	We should ban human cloning	in favor of	we should ban human cloning because it is not fair to the clone who is a living being but has no parents or friends and is essentially a lab experiment	train
A21282	We should ban missionary work	in favor of	missionaries basically bribe the poor to change to their religion.	train
A21283	We should ban fast food	in favor of	eating fast food one time per week increased the risk of death by coronary heart disease by 20 percent	train
A21285	We should ban telemarketing	against	telemarketing gives us new opportunities and we can often save money on our services.	train
A21286	We should legalize cannabis	in favor of	scientific studies have shown that cannabis is safe as a recreational drug	train
A21289	We should ban fast food	against	people need to be allowed to make their own food choices, for some people ithout thir own kitchen then fast food may be the only way they can ever get a hot meal	train
A21291	We should ban cosmetic surgery for minors	against	children have a right to bodily autonomy just like adults, and banning cosmetic surgery is a violation of this freedom of expression.	train
A21292	We should legalize cannabis	in favor of	cannabis can help alleviate many medical issues.	train
A21293	We should oppose collectivism	against	collectivism means that everyone has equal access to facilities.	train
A21294	We should subsidize Wikipedia	against	other places can provide information for free so why should wikipedia get money for doing the same thing?	train
A21295	We should adopt libertarianism	against	there is no one right belief for all people and insisting that everyone is a libertarian deprive free choice	train
A21296	We should ban whaling	in favor of	whaling  should be banned because they're killed inhumanely.	train
A21297	We should subsidize space exploration	against	there are already too many problems in the world that could use the resources more than space.	train
A21298	We should adopt atheism	in favor of	we should adopt atheism because science can explain how we got here without needing a god to explain it.	train
A21299	We should abolish the three-strikes laws	in favor of	We should abolish the three-strikes laws because a crime is a crime and the criminal need to be punished for what type of crime they are committing and not base on how many times they committed the crime	train
A21300	We should oppose collectivism	in favor of	this practice does not allow an individual their own thoughts and actions.	train
A21301	We should abolish the right to keep and bear arms	against	in a dangerous society, surely a person has the right to protect themselves and their family - this was the initial reasoning behind enshrining 'the right to keep and bear arms', and nothing has changed.	train
A21302	We should adopt a zero-tolerance policy in schools	against	a zero tolerance policy is unfair for minimal infractions.	train
A21305	We should legalize sex selection	against	every child has a right to be born regardless of their gender so sex selection should not be legalized.	train
A21306	We should subsidize embryonic stem cell research	in favor of	if we subsidize embryonic stem cell research, we can likely find cures for many conditions and diseases.	train
A21307	We should prohibit school prayer	against	school prayer should be allowed in schools, as long as students get the choice of whether or not they want to participate.	train
A21311	We should adopt libertarianism	in favor of	We should adopt libertarianism as a principle for all governments which will ensure that all minorities are included and everyone's rights are protected.	train
A21314	We should limit judicial activism	in favor of	judicial activism lets judges give the final verdict based on feelings so they will have the power to let things slide and give people less sentences than they deserve	train
A21316	We should abolish the three-strikes laws	against	the three-strikes law is a powerful deterrent that acts as a fixed punishment for people not to develop a life of crime as they are always aware of the power of the law and the fixed penalty.	train
A21317	We should ban algorithmic trading	in favor of	algorithmic trading gives too much control to machines. humans are better placed to understand the intricacies of the markets.	train
A21318	We should adopt a multi-party system	against	a multi-party system spreads votes out to thin,so as one leader can be victorious even though they did not receive the majority of the peoples' votes.	train
A21319	We should legalize organ trade	against	Selling organs puts the seller in incredible risk of further injury and decreases their quality of life.	train
A21320	We should legalize organ trade	against	Legalizing organ trade would allow rich people to stay healthy at the expense of poor people putting themselves at risk, creating an unfair society.	train
A21321	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is the bedrock constitutional right of every person both to protect themselves and their families, and banning this would infringe on civil liberties.	train
A21322	We should ban factory farming	in favor of	we should ban factory farming as its cruel and inhumane to animals	train
A21325	We should oppose collectivism	against	we shouldn't oppose collectivism because sometimes you have to look out  for what is best for society as a whole and not how it would benefit a specific individual.	train
A21328	We should stop the development of autonomous cars	against	autonomous cars can have benefits such as allowing anyone to travel inside a car such as disabled and vulnerable people who others would not be able to get to other places.	train
A21331	We should adopt a zero-tolerance policy in schools	against	we shouldn't adopt a zero tolerance policy in schools because it could cause kids to be wrongfully punished due to misunderstandings for example protecting themselves against a bully	train
A21332	We should ban missionary work	against	missionary work helps many people who are in distress	train
A21333	We should legalize sex selection	against	sex selection could lead to genetic abnormalities and start society on a slippery slope of genetic editing at a time when it is an imperfect, untested procedure that could lead to horrific outcomes.	train
A21334	We should adopt atheism	against	this country was founded on christian principles; we cannot abandon these customs.	train
A21336	We should ban fast food	in favor of	fast food has brought so much health damage to our society that control of this type of food is necessary	train
A21337	We should abolish intellectual property rights	against	it is only fair that a person or company that created something should have protections against those that want to make money off of another's hard work.	train
A21339	We should ban cosmetic surgery for minors	against	there are conditions where there is a functional impairment such as a deviated septum or cleft palate where surgery is necessary for functional and aesthetic reasons	train
A21340	We should stop the development of autonomous cars	in favor of	autonomous cars will never become reality.   we need to stop wasting money on this and instead work towards better safety and technology in regular cars.	train
A21341	We should abolish safe spaces	in favor of	safe spaces foster isolation and retreat from the rest of society and they do nothing to address underlying safety issues.	train
A21344	We should abolish the three-strikes laws	in favor of	the three-strikes laws can keep some people from having a chance to get out and reform themselves.	train
A21345	We should prohibit school prayer	against	school prayer has traditionally brought all pupils together to give thanks to god and prohibiting this removes a tradition many find a comforting start to their day.	train
A21346	We should legalize sex selection	against	sex selection is unethical and morally wrong - no child should be discarded because of their gender.	train
A21348	We should prohibit school prayer	in favor of	school prayers are outdated in a modern society, religion is a private matter someone should practice at home	train
A21349	We should stop the development of autonomous cars	in favor of	autonomous cars can be dangerous and promote reckless behavior, so they should discontinue making them.	train
A21350	We should stop the development of autonomous cars	in favor of	it is a waste of resources.  we should develop more environmental friendly cars instead.	train
A21351	We should ban cosmetic surgery for minors	against	cosmetic surgery helps build self esteem	train
A21352	We should adopt a zero-tolerance policy in schools	in favor of	a zero-tolerance policy in schools provides a structured and safe environment for children to learn.	train
A21353	We should fight for the abolition of nuclear weapons	against	if a country destroys theirs, they leave themselves at risk from attack	train
A21355	We should legalize sex selection	against	"Choosing your baby's gender interferes with what nature intended. People should not ""play God""."	train
A21356	We should ban whaling	against	many economies are sustained thanks to whaling	train
A21357	We should adopt a multi-party system	in favor of	could open up congress and create new opportunities for bargaining and coalition building on unusual lines.	train
A21358	We should subsidize journalism	in favor of	Subsidizing journalism increases journalist pay, allowing for better journalism.	train
A21362	We should introduce compulsory voting	in favor of	voting is what drives our country and not voting means that the most preferred people do not get elected.	train
A21363	We should ban factory farming	against	factory farming allows for increased food production for the increasing human population.	train
A21364	We should adopt atheism	in favor of	fewer wars will arise since there will be no fighting over holy lands or differing religions.	train
A21365	We should abolish the Olympic Games	in favor of	they are a waste of money, building hype for a short event. money will be better spent elsewhere	train
A21366	We should oppose collectivism	in favor of	collectivism provides no incentive for people to work hard because they have no opportunity to become wealthy.	train
A21369	We should stop the development of autonomous cars	in favor of	we should stop the development of autonomous cars because autonomous cars are bad idea, very dangerous	train
A21370	We should subsidize Wikipedia	in favor of	wikipedia has been supported by voluntary donations for too long.  subsidizing it would give it more credibility, and would allow the volunteers to continue to update it with the most accurate information.	train
A21371	We should ban telemarketing	in favor of	telemarketing is annoying to most people and takes away time from people's busy days.	train
A21372	We should prohibit school prayer	against	people have the right to pray where they want to.	train
A21373	We should ban cosmetic surgery	in favor of	some cosmetic surgery can cause infections and produce results that can disfigure a person forever.	train
A21374	We should adopt a zero-tolerance policy in schools	against	zero-tolerance results in an overly disciplinarian approach, and is unable to distinguish between all the subtle gradations of rule-breaking.	train
A21375	We should abolish the right to keep and bear arms	in favor of	there are many people killed every year by guns that were improperly secured	train
A21376	We should ban missionary work	against	the missionary work bring the good idea for the people	train
A21377	We should subsidize space exploration	against	We should not subsidize space exploration as there are far more important and urgent issues to deal with on earth at this time.	train
A21378	We should abolish the right to keep and bear arms	in favor of	there is too much gun violence, and too many innocent people are dying.	train
A21384	We should subsidize student loans	in favor of	we need an educated workforce so the loan rate students take should be low and subsidised to get this workforce.	train
A21385	We should ban human cloning	in favor of	we can not allow the cloning of humans, it goes against the laws of god and the laws of nature	train
A21386	We should end the use of economic sanctions	in favor of	we should end economic sanctions as they provide no real value	train
A21387	We should ban targeted killing	in favor of	targeted killing should be banned because it often results in the deaths of innocent bystanders	train
A21390	We should prohibit school prayer	against	our schools need to nurture and protect all aspects of our children, including prayer and religion, and children should never be prohibited from praying in school.	train
A21391	We should abolish the Olympic Games	in favor of	Sport does nothing for the survival of the human race and yet masses of resources are still ploughed into it for events like the Olympic Games while issues like poverty are swept under the carpet.	train
A21392	We should subsidize Wikipedia	against	subsidization may allow those providing the finances to have influence on entries that are in their interest	train
A21393	We should abolish safe spaces	against	We should not abolish safe spaces because people with PTSD need these spaces to overcome their trauma.	train
A21394	We should abolish zoos	in favor of	zoos keep wild animals locked up in areas smaller than they are used to in the wild and it is not natural for them.	train
A21395	We should adopt atheism	in favor of	atheism could be of great benefit because it would foster more scientific ideas which could prevent our demise from global warming and other looming challenges	train
A21397	We should abolish intellectual property rights	against	intellectual property rights serve to prevent the sharing of information and ideas, which would allow groundbreaking concepts to develop more quickly for the benefit of all.	train
A21398	We should fight for the abolition of nuclear weapons	against	Rather than advocate for the abolition of nuclear weapons, it would be preferable if there was more nuclear proliferation, as more countries with nuclear weapons increases their deterrent effect.	train
A21399	We should adopt libertarianism	in favor of	libertarians stand for everyone being allowed to have the most freedom possible, which most people usually want anyway.	train
A21400	We should ban targeted killing	against	if they can kill someone who has done or is planning on doing something to harm americans then why not target them and kill them	train
A21401	We should abolish zoos	against	zoos are an excellent way to provide entertainment and togetherness for families. they provide activities that no other venue can provide. they should not be abolished.	train
A21402	We should legalize organ trade	in favor of	Organ sales can raise many people out of poverty, providing them with more opportunities.	train
A21404	We should ban the use of child actors	against	as long as it doesn't interfere with their schooling and they are well looked after i don't see a problem.	train
A21406	We should adopt libertarianism	against	We should not adopt libertarianism because the business cycle would destroy the country's economy without regulation.	train
A21407	We should adopt an austerity regime	against	austerity makes times tougher for everyone.	train
A21408	We should abolish capital punishment	in favor of	capital punishment is a barbaric act that illustrates to people that murder is a viable option and codified in law.	train
A21410	We should adopt a multi-party system	against	if it ain't broke, don't fix it. it is working and has for a long time.	train
A21411	We should ban telemarketing	against	telemarketing provides jobs, and people should be allowed to use telemarketing to earn a living.	train
A21412	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance policies are the only effective system to keep schools safe from the threats of drugs and school shootings	train
A21414	We should subsidize space exploration	in favor of	we need to find a new planet with resources before we use ours up, putting more into space exploration would help accomplish this.	train
A21415	We should adopt atheism	against	the most basic right we have is freedom of religion, and it is very strong personal belief.  atheism strips that away and should not be encouraged.	train
A21416	We should prohibit school prayer	against	prayer is a healing and spiritual experience for many people and they should be allowed to practice it anywhere they wish	train
A21417	We should subsidize embryonic stem cell research	in favor of	these stem cells have the potential to save millions of human lives	train
A21418	We should cancel pride parades	against	people have a right to feel and display pride in what they are.	train
A21421	We should end the use of economic sanctions	in favor of	economic sanctions are outdated and does not cause any repercussions.	train
A21422	We should ban factory farming	against	Factory farming allows us to fill a high demand.	train
A21423	We should introduce compulsory voting	against	forcing people to vote or face a penalty is what a dictatorship sounds like.   compulsory voting is a bad idea.   i don't believe it would change the results anyways.	train
A21424	We should subsidize student loans	in favor of	by subsidizing student loans we can remove one of the stressors from continuing education.	train
A21425	We should prohibit school prayer	in favor of	a formal school prayer can not properly be considered as the free exercise of religion, the prohibition of school prayer is wholly compatible with the free exercise of religion	train
A21426	We should adopt an austerity regime	in favor of	when everything else fails the government should be allowed to curb all superfluous spending within.	train
A21428	We should ban whaling	against	whaling is quite a profitable profession.	train
A21431	We should adopt atheism	in favor of	Atheism should be the norm for a society who wants to live according to their own rules and ideals.	train
A21433	We should abolish safe spaces	against	we should not abolish safe spaces because it helps to preserve spots for future generations.	train
A21434	We should limit executive compensation	against	pay is the primary motivational factor for executive level employees, thus executive compensation should not be capped as it would affect their performance.	train
A21435	We should limit executive compensation	against	studies have shown that companies that do not limit executive compensation do better and out perform those that do limit. this is better for individual companies and the economy.	train
A21436	We should ban the Church of Scientology	in favor of	We should ban the Church of Scientology as it does not behave in an open and transparent manner, and therefore causes issues in society.	train
A21437	We should ban the Church of Scientology	against	we protect freedom of religion in our country. even if we do not agree with their principles, we must respect their rights to their beliefs	train
A21438	We should abolish safe spaces	in favor of	safe spaces restrict freedom of expression and should be prohibited	train
A21439	We should ban algorithmic trading	in favor of	this form of trading removes the human element which can have dangerous consequences.	train
A21440	We should subsidize Wikipedia	in favor of	to keep it as a source of information and because it does not receive funding it ought to be subsidized	train
A21441	We should ban telemarketing	against	telemarketing is a useful source of sales for many businesses	train
A21442	We should ban cosmetic surgery for minors	in favor of	minors are too young to make these choices	train
A21443	We should subsidize space exploration	in favor of	space exploration is invaluable because it may help us to find solutions for global warming or even planets that can sustain human life.	train
A21444	We should ban missionary work	against	missionary work helps bring medicine and food to areas of the world who would otherwise suffer without it. we have a duty to help all humans no matter where they are	train
A21445	We should end mandatory retirement	against	by forcing someone to retire it then means that spot is open for a younger person to fill the role, someone who could really use the money	train
A21446	We should abandon the use of school uniform	against	school uniforms help stop bullying because when people are similarly dressed, nobody is made to feel inferior.	train
A21447	We should ban cosmetic surgery	in favor of	plastic surgery carries risk and when it goes wrong, the nhs have to pay to repair the damage if the patient is suffering or at risk of serious illness.	train
A21450	We should ban whaling	in favor of	whaling should be banned as a matter of urgency. cruelty to such majestic, large animals is inhumane and unnecessary.	train
A21451	We should legalize cannabis	against	Growing marijuana harms the environment. Marijuana farming results in deforestation, soil erosion, habitat destruction and landslides.	train
A21453	We should ban algorithmic trading	against	algorithmic trading is a technological improvement on antiquated methods of trading and should be encouraged and improved.	train
A21454	We should ban factory farming	against	factory farming is one way to ensure we have enough food for our citizen and it should not be banned.	train
A21455	We should cancel pride parades	against	everyone should have a chance to celebrate their culture, gay culture included.	train
A21456	We should abolish intellectual property rights	in favor of	intellectual property rights should be abolished as an individual's thoughts or creative abilities are their own and should not be controlled or owned by a company.	train
A21457	We should ban cosmetic surgery	against	cosmetic surgery helps people feel better about their appearance, which can help them create positive changes in other areas of their life.	train
A21460	We should ban targeted killing	in favor of	targeting killing is essentially government endorsement of murder which is unethical.	train
A21461	We should adopt gender-neutral language	in favor of	it would make everyone equal and then they would be happy	train
A21462	We should ban whaling	in favor of	whaling should be banned. the number of whales is depleting seriously and is a real environmental concern.	train
A21463	We should legalize sex selection	against	it should not be legal, it is  costly and morally wrong	train
A21464	We should ban cosmetic surgery for minors	in favor of	minors are not fully mentally or emotionally developed enough yet to  be able to process the ramifications of cosmetic surgery on their life.	train
A21465	We should legalize organ trade	in favor of	financial incentives should be available for live donors and the families of the dead donors.	train
A21468	We should ban human cloning	in favor of	human cloning could lead to people replacing themselves with images themselves. this could lead to the end of human evolution which could make us more vulnerable to disease.	train
A21469	We should cancel pride parades	against	pride parades help promote a diversity of lifestyle options & thinking	train
A21472	We should limit judicial activism	against	our laws need to evolve with the times we are living in	train
A21473	We should abolish intellectual property rights	against	people have the right to their ideas and therefore it shouldn't be banned.	train
A21474	We should ban algorithmic trading	against	algorithmic trading is fast and efficient and better able to deal with data	train
A21475	We should ban private military companies	against	private military companies might be engaged in times of conflict when regular national military service is not eunough	train
A21476	We should adopt an austerity regime	in favor of	to being a country back to a good financial position, austerity is often the only way forward to balance the books.	train
A21477	We should subsidize student loans	in favor of	Student loan costs are becoming outrageous putting people in debt for life.	train
A21478	We should stop the development of autonomous cars	in favor of	they will lead to more deaths on the roads	train
A21479	We should oppose collectivism	in favor of	no two people are entirely alike.  ignoring individual differences and needs does not best serve the whole	train
A21480	We should abolish the Olympic Games	against	olympic games is useful to countries as it provides a boost to the countries economy by the increased tourism during the time of the tournament.	train
A21481	We should abolish safe spaces	against	Safe spaces are necessary for many people to have strong mental and emotional health, and we should advocate to protect this health just like we advocate for healthcare for physical ailments.	train
A21482	We should subsidize Wikipedia	in favor of	wikipedia provides a vast amount of knowledge to be accessible to all. subsidizing this will ensure this knowledge continues to be available.	train
A21485	We should ban telemarketing	in favor of	telemarketing is intrusive and violates the right to private property	train
A21486	We should ban cosmetic surgery	in favor of	cosmetic surgery causes unnecessary risks to the patient for a purely narcissistic procedure.	train
A21487	We should ban human cloning	in favor of	we should ban human cloning because cloning takes away from the unique individuality of a person.	train
A21491	We should end the use of economic sanctions	against	economic sanctions offer an effective way to deal with international conflict which does not involve military action.	train
A21492	We should abolish capital punishment	in favor of	Crimes that get the death penalty are rarely premeditated, which means capital punishment doesn't function as a deterant.	train
A21493	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons should be abolished because it is an ongoing health risk	train
A21494	We should abolish the three-strikes laws	in favor of	the three-strikes law is unfair to  those criminals who are trying to reform themselves.	train
A21495	We should abandon the use of school uniform	against	school uniforms make is so that everyone is equal	train
A21496	We should adopt libertarianism	in favor of	We should adopt libertarianism because taxation is theft, since it forces people to work for free.	train
A21497	We should subsidize Wikipedia	against	wikipedia has no control in the publications. the information provided may be wrong. the unverified information should not be subsidized	train
A21498	We should end the use of economic sanctions	in favor of	economic sanctions cause death and suffering for civilain populations, and are wildly unfocused as a tool of diplomacy.	train
A21500	We should legalize prostitution	in favor of	prostitution should be legalized as it provides a service and reduces rape and sex crimes	train
A22001	We should abolish zoos	in favor of	zoos constrict wild animals to enclosures not suitable for them purely for enjoyment	train
A22002	We should subsidize journalism	in favor of	we need journalists to keep us informed as to what is going on in the world	train
