Argument ID	Text
F01290	Everyone is the full owner of their own house and is free to do whatever they want, even if it bothers the neighbors nevertheless We must respect the rights of our neighbors
F01291	Many people do not have access to sufficient resources and we must act in such a way that resources remain for them as well therefore You have to be thrifty
F01292	The resources at our disposal are entrusted and we must take good care of them therefore You have to be thrifty
F01293	When a person is angry, he loses control over his mind therefore We must control our anger
F01294	Some people can only be dealt with using anger and force nevertheless We must control our anger
F01295	Arrogance destroys people therefore We should not be proud
F01297	The worst case scenario should always be considered because anyone may have the intention to harm nevertheless We should not be pessimistic
F01298	When we ourselves have made a mistake, we cannot expect others not to make that mistake therefore We should not attribute our faults to others
F01299	All humans are born free and equal and no one is a slave of others therefore Being a slave to others is a mistake
F01300	Selfishness makes us think that we don't need to improve and prevents us from progressing therefore You should not be conceited
